regionID,constellationID,constellationName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,factionID,radius
10000001,20000001,San Matar,-9.40465597009914e+16,4.95201531537989e+16,-4.2738731818402e+16,-1.03300968263126e+17,-8.47921511388562e+16,4.17075035682699e+16,5.73328027393278e+16,2.84035291069217e+16,5.70739345298823e+16,500007,1.43352027114803e+16
10000001,20000002,Anares,-7.91812708173142e+16,5.97217660235551e+16,-8.57675636213702e+16,-8.87870782997732e+16,-6.95754633348552e+16,4.7720998612e+16,7.17225334351103e+16,7.52260521388288e+16,9.63090751039115e+16,500007,1.20007674115552e+16
10000001,20000003,Mamouna,-6.65448343276821e+16,3.9477217750414e+16,-1.02442842021202e+17,-7.43798108537478e+16,-5.87098578016163e+16,2.60445093863922e+16,5.29099261144358e+16,9.67204101069244e+16,1.0816527393548e+17,500007,1.34327083640218e+16
10000001,20000004,Kalangin,-7.07428117984546e+16,4.53212032360566e+16,-4.37505045069673e+16,-8.15533441122512e+16,-5.9932279484658e+16,3.95082267566463e+16,5.11341797154669e+16,3.63463751329509e+16,5.11546338809837e+16,500007,1.08105323137966e+16
10000001,20000005,Hevaka,-7.70595651146762e+16,2.7128553877044e+16,-2.64233605110287e+16,-8.78957102276095e+16,-6.6223420001743e+16,1.51946413719526e+16,3.90624663821354e+16,2.24090232773571e+16,3.04376977447003e+16,500007,1.19339125050914e+16
10000001,20000006,Sazdih,-6.03362539807169e+16,4.13207172607966e+16,-7.30459516090312e+16,-6.27794236677204e+16,-5.78930842937134e+16,3.06020002150195e+16,5.20394343065736e+16,6.42457573257148e+16,8.18461458923476e+16,500007,1.0718717045777e+16
10000001,20000007,Ananah,-8.13872673841422e+16,3.57956293900121e+16,-9.31530360779941e+16,-8.93930676320562e+16,-7.33814671362281e+16,2.44225023492625e+16,4.71687564307616e+16,7.89993327663872e+16,1.07306739389601e+17,500007,1.41537033116069e+16
10000001,20000008,Mossas,-8.07437950097783e+16,3.82831626560767e+16,-6.48118413801529e+16,-8.50396054269296e+16,-7.64479845926271e+16,3.32538503855706e+16,4.33124749265828e+16,5.76655044778695e+16,7.19581782824363e+16,500007,7.14633690228339e+15
10000001,20000009,Mekashtad,-7.0591121348561e+16,6.77961387574723e+16,-5.95870161592701e+16,-8.57144326050021e+16,-5.54678100921198e+16,5.69603196351128e+16,7.86319578798319e+16,5.35018742007935e+16,6.56721581177466e+16,500007,1.51233112564412e+16
10000001,20000010,Bedaleya,-1.05549987563848e+17,7.13370848581678e+16,-9.24423002196049e+16,-1.15776531141552e+17,-9.53234439861444e+16,6.08972023736333e+16,8.17769673427023e+16,8.16962063677692e+16,1.0318839407144e+17,500007,1.07460938518356e+16
10000001,20000011,Orshed,-1.04177990519565e+17,6.42289775535876e+16,-5.78505820553084e+16,-1.12289887271664e+17,-9.60660937674658e+16,6.01532485766349e+16,6.83047065305403e+16,5.55595571021433e+16,6.01416070084735e+16,500007,8.1118967520991e+15
